,precision,recall,f1-score,support
Classical,0.8643410852713178,0.7729636048526863,0.8161024702653248,577.0
Electronic,0.7058336781133637,0.6968954248366013,0.7013360739979445,2448.0
Pop,0.3989769820971867,0.12351543942992874,0.18863361547763,1263.0
Rock,0.7488924687877567,0.9097358121330724,0.8215153523304618,4088.0
Hip-Hop,0.775242718446602,0.809017223910841,0.7917699553792762,1974.0
accuracy,0.7366183574879227,0.7366183574879227,0.7366183574879227,0.7366183574879227
macro avg,0.6986573865432455,0.6624255010326259,0.6638714934901275,10350.0
weighted avg,0.707470059635725,0.7366183574879227,0.7098854824235679,10350.0
